Isla,Fecha,Pasajeros,Phase,month_sin,month_cos,year_norm,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,roll3,roll6
Total Canarias,2019-01-01,1794560.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-02-01,1783042.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-03-01,2038936.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-04-01,1838553.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-05-01,1634637.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-06-01,1746104.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-07-01,1911553.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-08-01,1914740.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-09-01,1740643.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-10-01,1897118.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-11-01,1876794.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2019-12-01,1981730.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-01-01,1757813.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-02-01,1784677.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-03-01,753290.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-04-01,14783.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-05-01,34553.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-06-01,155092.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-07-01,652789.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-08-01,817328.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-09-01,506272.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-10-01,537189.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-11-01,473069.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2020-12-01,562866.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-01-01,298110.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-02-01,284530.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-03-01,408017.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-04-01,397799.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-05-01,584049.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-06-01,755253.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-07-01,1137952.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-08-01,1370168.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-09-01,1265347.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-10-01,1631192.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-11-01,1588604.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2021-12-01,1581120.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-01-01,1242342.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-02-01,1520775.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-03-01,1777180.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-04-01,1831428.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-05-01,1611236.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-06-01,1690460.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-07-01,1955986.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-08-01,1940286.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-09-01,1713248.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-10-01,2015580.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-11-01,1945604.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2022-12-01,2110045.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-01-01,1899097.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-02-01,1907273.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-03-01,2074654.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-04-01,1950607.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-05-01,1772338.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-06-01,1785800.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-07-01,2047699.0,History,,,,,,,,,,,,,,,,,
Total Canarias,2023-08-01,1994198.0,History,,,,,,,,,,,,,,,,,
